Electoral_District_Number,Province,2015_Bloc-Québécois,2015_Conservative,2015_Green-Party,2015_Liberal,2015_NDP-New-Democratic-Party,2015_Other,2015_Vote_Total,2015_Position_1,2015_Position_2,2015_Position_3,2015_Position_4,2015_Position_5,2015_Position_6,2015_Number_of_Polling_Stations,2015_Number_of_Electors,2015_Percent_Liberal,2015_Percent_Bloc-Québécois,2015_Percent_Conservative,2015_Percent_Green-Party,2015_Percent_NDP-New-Democratic-Party,2015_Percent_Other,2015_Voter_Participation
48005,Alberta,0.0,30669.0,2146.0,29083.0,4770.0,140.0,66808.0,Conservative,Liberal,NDP-New-Democratic-Party,Green-Party,Other,,237,91061,0.43532211711172314,0.0,0.4590617890073045,0.03212190156867441,0.07139863489402466,0.0020955574182732607,0.7336620507132582
48006,Alberta,0.0,19694.0,1229.0,14762.0,4006.0,1356.0,41047.0,Conservative,Liberal,NDP-New-Democratic-Party,Other,Green-Party,,204,75336,0.35963651423977394,0.0,0.479791458571881,0.02994128681755061,0.09759543937437572,0.03303530099641874,0.5448523946055007
48007,Alberta,0.0,37263.0,1246.0,15172.0,4255.0,494.0,58430.0,Conservative,Liberal,NDP-New-Democratic-Party,Green-Party,Other,,208,80767,0.2596611329796337,0.0,0.637737463631696,0.021324661988704433,0.0728221803867876,0.008454561013178163,0.7234390283160201
48008,Alberta,0.0,42415.0,1691.0,14396.0,4915.0,145.0,63562.0,Conservative,Liberal,NDP-New-Democratic-Party,Green-Party,Other,,231,87848,0.22648752399232247,0.0,0.6673012177086939,0.02660394575375224,0.07732607532802618,0.0022812372172052483,0.7235452144613423
48009,Alberta,0.0,32760.0,1384.0,14671.0,4836.0,911.0,54562.0,Conservative,Liberal,NDP-New-Democratic-Party,Green-Party,Other,,208,82243,0.2688867710127928,0.0,0.6004178732451156,0.025365639089476193,0.08863311462189802,0.01669660203071735,0.6634242427926997
48010,Alberta,0.0,38229.0,1360.0,20038.0,3665.0,0.0,63292.0,Conservative,Liberal,NDP-New-Democratic-Party,Green-Party,,,221,88007,0.31659609429311764,0.0,0.6040099854641977,0.021487707767174367,0.05790621247551033,0.0,0.7191700660174759
48011,Alberta,0.0,43706.0,1734.0,16379.0,4532.0,0.0,66351.0,Conservative,Liberal,NDP-New-Democratic-Party,Green-Party,,,248,98085,0.24685385299392623,0.0,0.6587089870536993,0.026133743274404306,0.06830341667797019,0.0,0.6764642911760208
48012,Alberta,0.0,37858.0,1586.0,19108.0,3128.0,839.0,62519.0,Conservative,Liberal,NDP-New-Democratic-Party,Green-Party,Other,,232,85530,0.3056350869335722,0.0,0.6055439146499464,0.025368288040435706,0.050032790031830324,0.013419920344215358,0.7309598971121244
48013,Alberta,0.0,17885.0,846.0,20644.0,3605.0,2013.0,44993.0,Liberal,Conservative,NDP-New-Democratic-Party,Other,Green-Party,,183,74604,0.45882692863334296,0.0,0.3975062787544729,0.0188029248994288,0.08012357477829885,0.04474029293445647,0.6030909870784409
48014,Alberta,0.0,18703.0,1403.0,19902.0,13084.0,420.0,53512.0,Liberal,Conservative,NDP-New-Democratic-Party,Green-Party,Other,,209,80173,0.37191657945881296,0.0,0.34951039019285396,0.026218418298699357,0.2445059052175213,0.007848706832112423,0.667456625048333
48015,Alberta,0.0,19157.0,1129.0,10397.0,16309.0,950.0,47942.0,Conservative,NDP-New-Democratic-Party,Liberal,Green-Party,Other,,238,81625,0.21686621334112052,0.0,0.39958700095949273,0.02354928872387468,0.3401818864461224,0.01981561052938968,0.587344563552833
48016,Alberta,0.0,22166.0,1079.0,13509.0,11582.0,665.0,49001.0,Conservative,Liberal,NDP-New-Democratic-Party,Green-Party,Other,,194,81361,0.2756882512601784,0.0,0.45235811514050733,0.022019958776351503,0.23636252321381196,0.013571151609150834,0.6022664421528743
48017,Alberta,0.0,20331.0,1096.0,20423.0,6330.0,1337.0,49517.0,Liberal,Conservative,NDP-New-Democratic-Party,Other,Green-Party,,194,74651,0.41244421107902335,0.0,0.41058626330351194,0.022133812630005856,0.12783488498899367,0.027000827998465173,0.6633132844837979
48018,Alberta,0.0,28805.0,1275.0,17428.0,9846.0,386.0,57740.0,Conservative,Liberal,NDP-New-Democratic-Party,Green-Party,Other,,208,82290,0.30183581572566676,0.0,0.4988742639418081,0.02208174575684101,0.17052303429165225,0.006685140284031867,0.7016648438449387
48019,Alberta,0.0,17395.0,1278.0,11524.0,24446.0,961.0,55604.0,NDP-New-Democratic-Party,Conservative,Liberal,Green-Party,Other,,214,78635,0.20725127688655492,0.0,0.312837205956406,0.02298395798863391,0.4396446298827422,0.017282929285662902,0.7071151522858777
48020,Alberta,0.0,26370.0,1037.0,18649.0,6955.0,446.0,53457.0,Conservative,Liberal,NDP-New-Democratic-Party,Green-Party,Other,,216,81144,0.34885983126625136,0.0,0.49329367529042034,0.019398769104139776,0.130104570028247,0.008343154310941504,0.6587917775805975
48021,Alberta,0.0,44949.0,1595.0,14660.0,6645.0,495.0,68344.0,Conservative,Liberal,NDP-New-Democratic-Party,Green-Party,Other,,274,100871,0.2145031019548168,0.0,0.6576875804752429,0.02333782043778532,0.09722872527215264,0.007242771860002341,0.677538638459022
48022,Alberta,0.0,46166.0,1983.0,8149.0,3919.0,769.0,60986.0,Conservative,Liberal,NDP-New-Democratic-Party,Green-Party,Other,,234,83675,0.13362083101039582,0.0,0.7569934083232217,0.032515659331649883,0.06426064998524252,0.012609451349490047,0.7288437406632805
48023,Alberta,0.0,28625.0,743.0,13403.0,3663.0,832.0,47266.0,Conservative,Liberal,NDP-New-Democratic-Party,Other,Green-Party,,252,77960,0.2835653535310794,0.0,0.6056150298311683,0.015719544704438707,0.07749756696145221,0.01760250497186138,0.6062852744997435
48024,Alberta,0.0,38895.0,1673.0,7819.0,4343.0,613.0,53343.0,Conservative,Liberal,NDP-New-Democratic-Party,Green-Party,Other,,222,82665,0.1465796824325591,0.0,0.7291490917271245,0.0313630654443882,0.08141649326059652,0.01149166713533172,0.6452912357103974
48025,Alberta,0.0,39882.0,1283.0,7500.0,5513.0,601.0,54779.0,Conservative,Liberal,NDP-New-Democratic-Party,Green-Party,Other,,236,79721,0.13691378082841965,0.0,0.7280527209332043,0.02342138410704832,0.100640756494277,0.010971357637050694,0.6871338794044229
